Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
183,-1.39,1,19,4,0.66,0.73,-0.54,0.67,-0.67,0,0.69,1,84.2,85.1,0.31,0.34,-1.26,143042,10163468,10,50
219,0.12,1,19,8,0.49,1.06,0.51,1.02,0.43,0,0.2,1,63.2,64.2,0.3,0.47,0.14,145340,10216650,10,40
351,1.3,1,19,13,0.51,1.11,0.8,1.14,0.43,0,0.04,1,63.2,68.6,0.23,0.48,1.26,147700,10986642,10,0
318,2.72,1,19,17,0.76,0.97,0.14,0.96,0.16,0,0.15,1,89.5,89.5,0.14,0.31,2.5,143348,10602593,10,0
46,0.12,1,19,8,0.49,0.89,-0.9,0.83,-0.6,0,0.48,1,78.9,64.2,0.3,0.43,0.14,147151,7641990,80,50
58,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,144853,7647964,10,80
401,2.72,1,19,17,0.76,0.92,0.06,0.72,-0.12,0,0.29,1,89.5,89.5,0.14,0.29,2.5,151561,14163608,10,0
259,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146890,10269541,10,0
175,1.05,1,19,12,0.49,0.93,-0.49,0.93,-0.09,0,0.35,1,73.7,64.3,0.25,0.45,1.02,149017,10150536,70,90
85,-2.72,1,19,1,1.06,0.63,-0.19,0.18,-0.74,0,0.75,1,94.7,94.7,0.24,0.17,-2.27,148979,7675623,10,0
279,1.87,1,19,15,0.57,1.01,0.14,0.94,0.09,0,0.18,1,78.9,79,0.19,0.4,1.79,144773,10296034,10,0
187,-0.12,1,19,7,0.5,1.08,0.8,1.08,0.43,0,0.17,1,63.2,68,0.31,0.5,-0.09,146381,10169148,82,10
182,-1.39,1,19,3,0.66,0.79,-0.56,0.61,-0.79,0,0.6,1,89.5,85.1,0.31,0.23,-0.9,149574,10165320,10,10
161,1.3,1,19,13,0.51,1.05,0.3,0.99,0,0,0.23,1,63.2,68.6,0.23,0.46,1.26,149627,10140646,0,0
213,-0.12,1,19,7,0.5,0.78,-1.33,0.77,-1.12,0,0.6,1,78.9,68,0.31,0.43,-0.09,150164,10207996,82,0
51,1.05,1,19,12,0.49,1.18,1.41,1.14,1.25,0,0.01,1,52.6,64.3,0.25,0.55,1.02,145002,7642598,10,50
295,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147360,10474056,82,0
152,3.48,1,19,18,1.03,0.92,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,143962,10123687,80,50
100,2.24,1,19,16,0.64,0.73,-0.54,0.56,-0.67,0,0.68,1,84.2,84.2,0.17,0.33,2.11,148979,7685890,82,0
367,-0.12,1,19,7,0.5,1.09,0.8,1.05,0.2,0,0.22,1,68.4,68,0.31,0.51,-0.09,151277,11168153,10,0
64,2.24,1,19,16,0.64,0.73,-0.25,0.67,-0.63,0,0.68,1,89.5,84.2,0.17,0.29,2.11,146427,7659873,70,80
215,3.48,1,19,18,1.03,0.98,0.31,0.89,0.25,0,0.1,1,94.7,94.7,0.1,0.22,3.02,143279,10216766,10,0
431,-0.12,1,19,7,0.5,0.89,-0.94,0.85,-0.89,0,0.5,1,68.4,68,0.31,0.45,-0.09,149712,16979966,10,0
92,0.35,1,19,9,0.48,1.2,1.24,1.4,1.4,0,-0.37,1,47.4,61.6,0.29,0.5,0.36,148879,7683944,0,0
107,-1.39,1,19,3,0.66,0.76,-0.54,0.62,-0.67,0,0.61,1,89.5,85.1,0.31,0.29,-1.26,148979,9258388,0,0
125,2.72,1,19,17,0.76,0.92,0.06,0.72,-0.13,0,0.29,1,89.5,89.5,0.14,0.29,2.5,148997,9479503,82,0
121,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147795,9480390,10,0
9,-0.12,1,19,7,0.5,1.31,1.15,1.4,1.34,0,-0.14,1,63.2,68,0.31,0.51,-0.09,148175,7271042,82,10
1,2.24,1,19,16,0.64,0.97,-0.02,0.92,0,0,0.23,1,84.2,84.2,0.17,0.35,2.11,148948,6706185,10,0
66,2.24,1,19,16,0.64,0.73,-0.35,0.62,-0.62,0,0.68,1,89.5,84.2,0.17,0.29,2.11,148853,7650957,0,0
296,4.73,0,19,19,1.84,1,0,1,0.04,0,0,1,100,100,0,0,4.73,147269,10440844,82,0
311,3.48,1,19,18,1.03,1.02,0.32,0.95,0.39,0,0.07,1,94.7,94.7,0.1,0.22,3.02,150789,10628118,10,0
382,2.24,1,19,16,0.64,1.04,0.27,1.03,0.25,0,0.07,1,84.2,84.2,0.17,0.39,2.11,148238,11870699,0,0
132,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147682,9673644,10,0
398,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,149164,12703729,0,0
290,0.81,1,19,11,0.48,1,0.05,1,0.04,0,0.18,1,57.9,61.1,0.26,0.48,0.8,150965,10393072,82,80
244,3.48,1,19,18,1.03,1.02,0.32,0.94,0.35,0,0.08,1,94.7,94.7,0.1,0.22,3.02,150234,10226826,10,50
89,0.35,1,19,9,0.48,1.02,0.12,0.98,0.1,0,0.28,1,57.9,61.6,0.29,0.49,0.36,143274,7682484,10,80
266,0.58,1,19,10,0.48,0.96,-0.15,0.93,-0.22,0,0.31,1,68.4,60.2,0.28,0.47,0.58,149696,10292845,10,0
104,2.24,1,19,16,0.64,1.48,0.41,1.41,0.74,0,-0.03,1,84.2,84.2,0.17,0.38,2.11,149632,9305807,82,10
202,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,149646,10203931,82,0
67,1.3,1,19,13,0.51,0.93,-0.43,0.83,-0.45,0,0.37,1,73.7,68.6,0.23,0.42,1.26,147209,7659067,10,50
392,0.58,1,19,10,0.48,0.95,-0.15,0.93,-0.31,0,0.35,1,57.9,60.2,0.28,0.47,0.58,151234,13187740,10,10
405,3.48,1,19,18,1.03,1.01,0.32,0.85,0.35,0,0.12,1,94.7,94.7,0.1,0.22,3.02,144419,14309785,60,0
277,3.48,1,19,18,1.03,1.03,0.32,1.03,0.39,0,0.07,1,94.7,94.7,0.1,0.23,3.02,147853,10332383,82,0
298,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,150339,10484396,0,0
445,0.12,1,19,8,0.49,1,0.05,1,0,0,0.47,1,78.9,64.2,0.3,0.42,0.14,145431,17701341,82,0
166,3.48,1,19,18,1.03,1.11,0.38,1.43,0.74,0,-0.24,1,94.7,94.7,0.1,0.23,3.02,145976,10143025,80,0
122,2.72,1,19,17,0.76,0.7,-0.35,0.62,-0.67,0,0.82,1,89.5,89.5,0.14,0.29,2.5,148985,9536019,10,40
393,0.58,1,19,10,0.48,0.81,-1.19,0.69,-1.02,0,0.62,1,73.7,60.2,0.28,0.41,0.58,148616,13187740,80,0
101,1.05,1,19,12,0.49,1.18,1.32,1.14,0.92,0,0,1,52.6,64.3,0.25,0.52,1.02,145471,7685890,10,50
99,2.24,1,19,16,0.64,0.97,0.03,0.94,0,0,0.23,1,84.2,84.2,0.17,0.35,2.11,148846,7686919,10,10
434,2.72,1,19,17,0.76,0.96,0.09,0.77,-0.2,0,0.21,1,89.5,89.5,0.14,0.3,2.5,149395,18589499,10,0
46,-0.12,1,19,7,0.5,1.35,1.29,1.41,1.68,0,-0.22,1,52.6,68,0.31,0.5,-0.09,148879,7640498,40,70
427,-0.38,1,19,6,0.52,1.01,0.13,1,0.16,0,0.47,1,78.9,72.2,0.32,0.41,-0.34,145431,16643747,10,10
251,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,144306,10235450,50,50
337,2.24,1,19,16,0.64,0.92,-0.06,0.82,-0.21,0,0.29,1,84.2,84.2,0.17,0.34,2.11,143297,10809295,10,82
91,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144819,7680295,90,80
327,3.48,1,19,18,1.03,0.92,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,151248,10707204,10,60
48,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,147544,7638116,10,0
263,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,143417,10280758,20,10
219,1.57,1,19,14,0.53,1.23,0.75,1.48,0.99,0,-0.42,1,73.7,73.7,0.21,0.48,1.51,149696,10216200,82,0
41,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,143087,7632126,82,0
352,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,147028,10926496,0,0
316,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146833,10616063,10,0
367,1.87,1,19,15,0.57,1.07,0.29,1.17,0.45,0,0.01,1,78.9,79,0.19,0.41,1.79,143246,11168153,10,0
424,1.87,1,19,15,0.57,0.93,-0.06,0.86,-0.17,0,0.3,1,78.9,79,0.19,0.39,1.79,143272,16408853,10,0
208,0.81,1,19,11,0.48,1,0.06,1.05,-0.13,0,0.25,1,57.9,61.1,0.26,0.49,0.8,145610,10210210,10,70
171,3.48,1,19,18,1.03,1.01,0.32,0.89,0.35,0,0.12,1,94.7,94.7,0.1,0.22,3.02,149532,10143025,10,0
203,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147050,10200746,82,0
327,1.57,1,19,14,0.53,0.92,-0.38,0.84,-0.45,0,0.38,1,73.7,73.7,0.21,0.42,1.51,150362,10704221,10,0
59,1.57,1,19,14,0.53,1.04,0.24,0.89,0.02,0,0.23,1,73.7,73.7,0.21,0.44,1.51,145002,7655940,10,0
172,3.48,1,19,18,1.03,1.01,0.32,0.82,0.35,0,0.11,1,94.7,94.7,0.1,0.22,3.02,149029,10152911,82,0
68,1.57,1,19,14,0.53,0.95,-0.03,0.88,-0.17,0,0.3,1,73.7,73.7,0.21,0.42,1.51,146447,7650957,10,0
355,0.12,1,19,8,0.49,1.11,0.55,1.05,0.39,0,0.15,1,52.6,64.2,0.3,0.49,0.14,145301,11039086,10,0
272,0.35,1,19,9,0.48,1.17,1.32,1.26,1.17,0,0.09,1,47.4,61.6,0.29,0.52,0.36,150362,10290524,0,0
376,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,151285,11424133,82,0
280,3.48,1,19,18,1.03,0.86,-0.21,0.49,-0.45,0,0.4,1,94.7,94.7,0.1,0.21,3.02,150958,10332383,0,0
29,0.35,1,19,9,0.48,0.95,-0.39,0.92,-0.35,0,0.36,1,68.4,61.6,0.29,0.47,0.36,145253,7626908,10,0
90,3.48,1,19,18,1.03,1,0.31,0.82,0.25,0,0.12,1,94.7,94.7,0.1,0.22,3.02,144963,7682891,10,0
184,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144355,10165851,82,50
121,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147795,9568093,10,0
46,0.35,1,19,9,0.48,0.92,-0.82,0.89,-0.66,0,0.46,1,68.4,61.6,0.29,0.45,0.36,145253,7642717,10,0
443,2.24,1,19,16,0.64,1.02,0.17,0.88,0.19,0,0.15,1,84.2,84.2,0.17,0.36,2.11,144207,18886078,10,0
36,2.24,1,19,16,0.64,0.93,0,0.78,-0.17,0,0.29,1,84.2,84.2,0.17,0.35,2.11,146883,7632967,10,50
223,1.57,1,19,14,0.53,0.95,-0.24,0.84,-0.4,0,0.33,1,73.7,73.7,0.21,0.42,1.51,143058,10221727,10,80
179,2.24,1,19,16,0.64,0.91,-0.01,0.68,-0.41,0,0.3,1,84.2,84.2,0.17,0.33,2.11,149548,10147632,10,0
32,3.48,1,19,18,1.03,0.94,0.24,0.59,0.01,0,0.24,1,94.7,94.7,0.1,0.22,3.02,144933,7620802,82,0
316,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,145846,10606750,82,0
296,3.48,1,19,18,1.03,0.92,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,144434,10477047,10,0
177,2.24,1,19,16,0.64,1.01,0.16,0.96,-0.13,0,0.2,1,84.2,84.2,0.17,0.36,2.11,148973,10149678,82,0
70,-1.39,1,19,4,0.66,0.76,-0.35,0.62,-0.62,0,0.6,1,89.5,85.1,0.31,0.31,-1.26,148853,7670184,0,0
323,3.48,1,19,18,1.03,0.92,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,146977,10719520,10,0
300,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147360,10557164,82,0
318,2.72,1,19,17,0.76,1.02,0.22,0.94,0.19,0,0.15,1,89.5,89.5,0.14,0.31,2.5,143348,10617205,10,50
23,0.58,1,19,10,0.48,1.09,0.55,1.1,0.67,0,0.17,1,47.4,60.2,0.28,0.49,0.58,143274,7597029,10,90
339,3.48,1,19,18,1.03,0.92,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,151265,10819673,60,60
223,2.72,1,19,17,0.76,0.92,0.06,0.72,-0.13,0,0.29,1,89.5,89.5,0.14,0.29,2.5,148195,10222081,10,0
318,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144432,10640916,82,80
450,-0.67,1,19,5,0.59,0.96,0.08,0.8,-0.04,0,0.26,1,78.9,79,0.32,0.35,-1.26,145979,19897448,10,0
338,2.24,1,19,16,0.64,0.92,-0.03,0.7,-0.41,0,0.32,1,84.2,84.2,0.17,0.34,2.11,146975,10795901,10,0
207,2.72,1,19,17,0.76,1.07,0.31,1.15,0.45,0,-0.02,1,89.5,89.5,0.14,0.31,2.5,148952,10200746,90,10
441,-0.67,1,19,5,0.55,0.93,-0.03,0.91,-0.17,0,0.3,1,78.9,76.3,0.32,0.36,-0.6,145431,18536468,80,0
197,3.48,1,19,18,1.03,1.06,0.37,1.47,0.72,0,-0.09,1,94.7,94.7,0.1,0.23,3.02,147553,10188401,10,0
61,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,148913,7655339,10,0
311,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146833,10617205,10,0
89,-2.72,1,19,1,1.06,0.63,-0.19,0.18,-0.74,0,0.75,1,94.7,94.7,0.24,0.17,-2.27,148997,7682484,82,0
309,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144432,10602593,10,0
170,2.72,1,19,17,0.76,1.11,0.38,1.4,0.72,0,-0.24,1,89.5,89.5,0.14,0.32,2.5,145617,10143149,10,50
23,0.35,1,19,9,0.48,0.98,-0.18,0.94,-0.24,0,0.35,1,57.9,61.6,0.29,0.47,0.36,145655,7607946,10,0
153,3.48,1,19,18,1.03,0.86,-0.18,0.49,-0.37,0,0.4,1,94.7,94.7,0.1,0.21,3.02,144413,10091270,80,0
351,0.12,1,19,8,0.49,1.11,0.55,1.02,0.2,0,0.24,1,63.2,64.2,0.3,0.48,0.14,143420,10986642,10,0
247,3.48,1,19,18,1.03,0.96,0.25,0.63,0.05,0,0.23,1,94.7,94.7,0.1,0.22,3.02,146979,10235213,82,10
433,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147379,18342736,10,0
446,3.48,1,19,18,1.03,1.02,0.32,0.94,0.35,0,0.08,1,94.7,94.7,0.1,0.22,3.02,143038,19901283,80,50
21,1.87,1,19,15,0.57,1.07,0.31,1,0.32,0,0,1,78.9,80.8,0.19,0.41,1.79,144011,7614292,10,90
79,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,148913,7670184,10,0
172,3.48,1,19,18,1.03,0.96,0.24,0.63,0.05,0,0.17,1,94.7,94.7,0.1,0.22,3.02,149529,10150625,80,0
162,3.48,1,19,18,1.03,0.86,-0.17,0.49,-0.37,0,0.4,1,94.7,94.7,0.1,0.21,3.02,144791,10142525,50,80
10,0.35,1,19,9,0.48,0.98,-0.39,0.94,-0.27,0,0.36,1,68.4,61.6,0.29,0.47,0.36,145253,7335369,10,0
44,-0.12,1,19,7,0.5,1.21,0.98,1.26,1.2,0,-0.04,1,63.2,68,0.31,0.5,-0.09,148864,7642598,10,0
384,1.3,1,19,13,0.51,1.3,1.29,1.4,1.38,0,-0.37,1,57.9,68.6,0.23,0.48,1.26,151268,12058610,10,0
374,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146354,11318074,10,80
433,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.18,0,0.32,1,94.7,94.7,0.1,0.21,3.02,147686,18017088,10,0
143,-0.38,1,19,6,0.52,1.43,1.44,1.55,1.85,0,-0.42,1,57.9,72.2,0.32,0.52,-0.34,143781,9995226,10,82
275,2.72,1,19,17,0.76,0.91,0.06,0.72,-0.13,0,0.29,1,89.5,89.5,0.14,0.29,2.5,147408,10288740,82,60
406,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146752,13985973,60,0
364,1.87,1,19,15,0.57,0.88,-0.32,0.8,-0.45,0,0.37,1,78.9,79,0.19,0.39,1.79,144745,11084650,10,0
91,0.35,1,19,9,0.48,1.06,0.8,1.05,0.17,0,0.24,1,47.4,61.6,0.29,0.5,0.36,143079,7682891,10,82
316,2.72,1,19,17,0.76,1.06,0.29,1.17,0.45,0,0,1,89.5,89.5,0.14,0.32,2.5,145641,10617809,10,0
431,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,143469,16979966,10,50
174,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,149523,10147632,80,0
52,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.09,0,0.32,1,94.7,94.7,0.1,0.21,3.02,144858,7642717,80,0
312,3.48,1,19,18,1.03,1.11,0.36,1.47,0.78,0,-0.17,1,94.7,94.7,0.1,0.23,3.02,143246,10638008,10,50
403,3.48,1,19,18,1.03,0.92,0.2,0.49,-0.18,0,0.32,1,94.7,94.7,0.1,0.21,3.02,147031,14163608,10,0
361,3.48,1,19,18,1.03,0.9,-0.21,0.49,-0.45,0,0.38,1,94.7,94.7,0.1,0.21,3.02,143670,11065176,10,50
185,-0.12,1,19,7,0.5,1.08,0.72,1.02,0.22,0,0.24,1,63.2,68,0.31,0.5,-0.09,149554,10169474,82,0
360,3.48,1,19,18,1.03,0.9,-0.17,0.49,-0.37,0,0.4,1,94.7,94.7,0.1,0.21,3.02,145342,11063157,60,0
201,1.87,1,19,15,0.57,0.98,0.09,0.94,0.04,0,0.23,1,78.9,79,0.19,0.39,1.79,149655,10208690,82,0
429,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,144436,16893891,80,0
349,2.24,1,19,16,0.64,0.91,-0.08,0.76,-0.38,0,0.3,1,84.2,84.2,0.17,0.33,2.11,144745,10833412,10,0
408,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,144419,14994461,10,0
177,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,143723,10152911,82,50
380,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144423,11870699,82,80
133,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,148976,9842349,80,0
48,-2.72,1,19,1,1.06,0.63,-0.19,0.18,-0.74,0,0.75,1,94.7,94.7,0.24,0.17,-2.27,148918,7642598,0,0
296,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146204,10468838,80,0
418,3.48,1,19,18,1.03,0.93,0.25,0.63,-0.18,0,0.32,1,94.7,94.7,0.1,0.22,3.02,147031,15732169,82,0
186,-0.12,1,19,7,0.5,1.15,1.17,1.24,1.01,0,-0.01,1,68.4,68,0.31,0.5,-0.09,148115,10165282,82,0
290,0.12,1,19,8,0.49,1.23,1.46,1.4,1.38,0,-0.37,1,57.9,64.2,0.3,0.52,0.14,149554,10413243,10,0
236,-0.12,1,19,7,0.5,0.89,-0.85,0.85,-0.65,0,0.49,1,68.4,68,0.31,0.46,-0.09,148967,10224459,70,80
432,3.48,1,19,18,1.03,0.87,-0.18,0.49,-0.37,0,0.39,1,94.7,94.7,0.1,0.21,3.02,147686,18072763,10,0
78,0.12,1,19,8,0.49,0.91,-0.49,0.89,-0.46,0,0.38,1,73.7,64.2,0.3,0.43,0.14,148900,7666942,82,0
326,1.57,1,19,14,0.53,0.92,-0.49,0.81,-0.46,0,0.38,1,73.7,73.7,0.21,0.41,1.51,150965,10722696,10,0
64,1.05,1,19,12,0.49,0.93,-0.3,0.91,-0.36,0,0.4,1,68.4,64.3,0.25,0.45,1.02,145655,7659873,82,10
68,2.24,1,19,16,0.64,0.73,-0.35,0.56,-0.63,0,0.68,1,84.2,84.2,0.17,0.34,2.11,144858,7656408,10,80
33,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,144144,7620802,82,0
138,2.24,1,19,16,0.64,0.89,-0.07,0.83,-0.21,0,0.3,1,84.2,84.2,0.17,0.34,2.11,147559,10051031,60,0
377,2.72,1,19,17,0.76,1.03,0.27,1.32,0.72,0,0.07,1,89.5,89.5,0.14,0.31,2.5,151859,11374462,0,0
270,2.72,1,19,17,0.76,0.92,0.06,0.72,-0.13,0,0.29,1,89.5,89.5,0.14,0.29,2.5,147408,10290907,82,60
236,-0.12,1,19,7,0.5,0.96,-0.18,0.91,-0.35,0,0.47,1,78.9,68,0.31,0.43,-0.09,149511,10223940,10,0
47,-2.72,1,19,1,1.06,1.14,0.47,0.87,-0.18,0,0.19,1,94.7,94.7,0.24,0.23,-2.27,143992,7639937,10,80
283,0.12,1,19,8,0.49,1.18,1.47,1.17,0.98,0,0.04,1,52.6,64.2,0.3,0.53,0.14,146381,10369511,90,0
27,3.48,1,19,18,1.03,1.02,0.32,0.94,0.35,0,0.08,1,94.7,94.7,0.1,0.22,3.02,148841,7616503,10,0
379,2.24,1,19,16,0.64,1.01,0.18,0.78,-0.04,0,0.22,1,84.2,84.2,0.17,0.36,2.11,143297,12083704,82,50
403,3.48,1,19,18,1.03,1.01,0.32,0.82,0.35,0,0.1,1,94.7,94.7,0.1,0.22,3.02,149164,15165582,82,0
273,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,150768,10289534,80,50
312,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,150953,10616063,80,0
187,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,143042,10167633,82,0
164,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,147491,10143025,50,0
426,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,149395,16893891,82,0
21,2.72,1,19,17,0.76,1.02,0.22,0.9,0.19,0,0.17,1,89.5,89.5,0.14,0.32,2.5,143694,7613784,10,50
390,1.87,1,19,15,0.57,1.02,0.16,0.95,0.13,0,0.19,1,78.9,79,0.19,0.41,1.79,145979,11946016,10,0
153,3.48,1,19,18,1.03,0.89,-0.15,0.49,-0.41,0,0.38,1,94.7,94.7,0.1,0.21,3.02,147559,10099824,82,0
333,3.48,1,19,18,1.03,0.99,0.29,0.76,0.25,0,0.11,1,94.7,94.7,0.1,0.22,3.02,150611,10819673,82,0
88,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146202,7681755,10,0
297,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,147394,10484396,10,80
