Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
409,-5.4791,-1,36,0,1.8534,1,0,1,0,0,0,1,100,100,0,0,-5.4791,148328,16259262,10,50
300,-1.0059,1,36,11,0.4054,0.75,-1.8,0.66,-1.77,0.0016,0.67,1,80.6,75.2,0.45,0.37,-0.9811,152459,14750848,10,0
504,-0.2569,1,36,16,0.3747,1.09,0.68,1.06,0.32,0.0021,0.34,1,61.1,69.9,0.44,0.47,-0.2489,143132,16861574,82,0
420,-0.3984,1,36,15,0.3782,0.95,-0.26,0.95,-0.14,0.002,0.51,1,66.7,70.9,0.45,0.44,-0.3876,152098,16314999,82,0
476,0.5722,1,36,22,0.3752,0.99,-0.01,0.99,0.06,0.0025,0.36,1,66.7,69.1,0.4,0.44,0.5633,148687,16736915,82,0
24,0.1573,1,36,19,0.3703,1.08,0.58,1.06,0.36,0.0023,0.34,1,66.7,68.6,0.43,0.47,0.1572,144992,12230995,10,0
410,-5.4791,-1,36,0,1.8534,1,0,1,0,0,0,1,100,100,0,0,-5.4791,148328,16277864,0,0
95,-0.3984,1,36,15,0.3782,1.57,2.97,1.88,2.99,0.002,-0.03,1,36.1,70.9,0.45,0.55,-0.3876,148510,13037633,80,50
360,0.4325,1,36,21,0.3725,1,0.06,0.95,-0.13,0.0025,0.41,1,58.3,68.8,0.41,0.45,0.4267,147877,15459683,82,0
314,-0.2569,1,36,16,0.3747,0.95,-0.33,1.02,0.15,0.0021,0.42,1,72.2,69.9,0.44,0.44,-0.2489,144785,14827506,80,50
490,0.8601,1,36,24,0.3845,0.89,-0.65,0.77,-0.74,0.0027,0.5,1,69.4,70.3,0.38,0.39,0.8441,148726,16852761,80,0
258,-0.543,1,36,14,0.3829,1.32,1.5,1.26,1.11,0.0019,0.2,1,50,71.7,0.45,0.5,-0.5292,146469,14487578,82,0
539,1.0106,1,36,25,0.3916,1.06,0.46,0.96,-0.14,0.0027,0.36,1,69.4,71.4,0.37,0.42,0.9904,145483,18368042,70,70
124,0.2945,1,36,20,0.3708,1.02,0.17,0.96,-0.04,0.0024,0.43,1,69.4,68.7,0.42,0.45,0.2916,145777,13175580,82,0
367,-0.3984,1,36,15,0.3782,1.16,0.93,1.24,1.14,0.002,0.27,1,72.2,70.9,0.45,0.47,-0.3876,147129,15502430,82,0
104,-0.6917,1,36,13,0.3888,0.98,-0.06,1.05,0.25,0.0018,0.39,1,77.8,72.4,0.45,0.41,-0.6745,149053,13041142,50,40
445,-0.3984,1,36,15,0.3782,1.03,0.25,0.95,-0.17,0.002,0.42,1,58.3,70.9,0.45,0.46,-0.3876,143132,16583108,82,0
16,-1.0059,1,36,11,0.4054,1.44,1.77,1.83,2.67,0.0016,0.04,1,69.4,75.2,0.45,0.49,-0.9811,150502,12125830,10,0
463,-0.3984,1,36,15,0.3782,0.88,-0.83,0.83,-0.7,0.002,0.54,1,77.8,70.9,0.45,0.41,-0.3876,149479,16635043,90,82
37,-0.543,1,36,14,0.3829,1.34,1.75,1.47,2.01,0.0019,0.12,1,66.7,71.7,0.45,0.5,-0.5292,151026,12288780,10,0
349,0.8601,1,36,24,0.3845,0.88,-0.8,0.91,-0.31,0.0027,0.5,1,80.6,70.3,0.38,0.42,0.8441,150561,15489213,90,80
36,-4.2064,1,36,1,1.0475,1,0,1,0,7e-4,0.1,1,97.2,97.2,0.12,0.16,-3.748,148296,12300489,0,0
