Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
203,1.3585,1,36,20,0.3602,1.05,0.44,1.06,0.32,3e-4,0.26,1,63.9,65.7,0.36,0.47,1.3539,148334,12305707,10,0
531,3.4117,1,36,32,0.5451,1.15,0.45,0.92,-0.08,3e-4,0.21,1,88.9,88.9,0.22,0.33,3.3082,146050,18894771,82,10
193,3.4117,1,36,32,0.5451,0.92,-0.13,0.74,-0.21,3e-4,0.34,1,88.9,88.9,0.22,0.3,3.3082,150689,12261688,82,50
262,3.746,1,36,33,0.616,0.97,0.17,0.71,-0.21,2e-4,0.26,1,91.7,91.7,0.19,0.27,3.6009,144266,13025503,82,50
217,2.1912,1,36,26,0.3934,0.82,-1.11,0.74,-1.25,3e-4,0.56,1,75,73.2,0.32,0.37,2.1641,150564,12313912,80,0
148,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,143166,11598913,0,82
363,4.1973,1,36,34,0.7384,1.05,0.26,2.32,2.7,2e-4,-0.12,1,94.4,94.4,0.16,0.23,3.9689,152308,14071134,82,0
130,2.9097,1,36,30,0.4647,0.94,-0.17,0.72,-0.33,3e-4,0.34,1,83.3,83.3,0.26,0.35,2.8481,144509,11483873,50,50
369,4.1973,1,36,34,0.7384,1.01,0.15,0.72,-0.02,2e-4,0.25,1,94.4,94.4,0.16,0.23,3.9689,151915,14265567,50,50
464,-2.8178,1,36,1,1.0275,1.07,0.39,1.14,0.55,1e-4,0.04,1,97.2,97.2,0.15,0.17,-2.344,146825,15310035,82,0
147,2.9097,1,36,30,0.4647,0.96,-0.05,0.87,-0.13,3e-4,0.33,1,83.3,83.3,0.26,0.35,2.8481,150698,11503947,82,0
361,4.1973,1,36,34,0.7384,0.97,0.13,0.74,-0.18,2e-4,0.26,1,94.4,94.4,0.16,0.22,3.9689,151915,14199122,10,80
362,1.7568,1,36,23,0.3703,0.72,-1.66,0.71,-1.52,3e-4,0.64,1,80.6,68.1,0.34,0.41,1.7427,144481,14192799,80,50
222,1.3585,1,36,20,0.3602,1.28,2.29,1.41,2.09,3e-4,-0.07,1,50,65.7,0.36,0.52,1.3539,148062,12488925,82,0
3,-0.3463,1,36,8,0.427,1.06,0.33,1.11,0.55,0,0.24,1,72.2,78.9,0.34,0.43,-0.6862,145346,10156917,10,0
13,-0.1708,1,36,9,0.4114,1.13,1.1,1.11,0.62,0,0.23,1,72.2,76.6,0.35,0.43,0.0214,150877,10246657,10,0
301,4.9355,1,36,35,1.022,1,0.29,0.69,0.16,0,0.14,1,97.2,97.2,0.11,0.16,4.4571,145631,13218417,90,0
78,3.746,1,36,33,0.616,0.97,0.19,0.7,-0.04,2e-4,0.23,1,91.7,91.7,0.19,0.27,3.6009,143656,11218991,10,80
514,4.1973,1,36,34,0.7384,1.01,0.15,0.8,-0.06,2e-4,0.2,1,94.4,94.4,0.16,0.23,3.9689,145514,18205356,80,0
143,1.3585,1,36,20,0.3602,0.92,-0.61,0.88,-0.65,3e-4,0.48,1,80.6,65.7,0.36,0.44,1.3539,147022,11494611,10,0
112,-0.5369,1,36,5,0.427,1.35,1.01,1.35,1.68,0,0.08,1,69.4,78.9,0.34,0.43,-0.6862,152336,11329629,10,0
111,0.9714,1,36,17,0.3598,0.93,-0.59,0.9,-0.64,2e-4,0.43,1,75,65.9,0.37,0.44,0.9751,144134,11315512,10,74
422,2.9097,1,36,30,0.4647,0.84,-0.56,0.59,-0.72,3e-4,0.45,1,83.3,83.3,0.26,0.31,2.8481,152325,14827441,10,0
476,3.4117,1,36,32,0.5451,1.15,0.45,1.03,0.29,3e-4,0.13,1,88.9,88.9,0.22,0.32,3.3082,147250,15361950,10,0
279,0.148,1,36,11,0.3886,0.91,-0.5,0.81,-0.95,0,0.49,1,80.6,72.7,0.36,0.41,0.1715,145284,13177826,10,0
270,4.1973,1,36,34,0.7384,0.9,0.03,0.64,-0.35,2e-4,0.3,1,94.4,94.4,0.16,0.22,3.9689,148451,13088807,90,60
32,-1.608,1,36,4,0.6236,0.81,-0.29,0.45,-0.64,0,0.47,1,91.7,91.7,0.24,0.24,-1.4652,147580,10452001,10,0
316,1.7568,1,36,23,0.3703,0.77,-2.52,0.69,-1.78,3e-4,0.64,1,83.3,68.1,0.34,0.41,1.7427,143394,13797727,10,50
66,0.8414,1,36,16,0.3616,0.97,-0.14,0.9,-0.62,2e-4,0.41,1,66.7,66.7,0.37,0.46,0.8479,144199,10544747,10,20
545,3.746,1,36,33,0.616,1.09,0.4,1.26,0.73,2e-4,0.08,1,91.7,91.7,0.19,0.28,3.6009,147250,19979606,10,0
229,0.9714,1,36,17,0.3598,1.27,2.18,1.46,2.2,2e-4,-0.01,1,50,65.9,0.37,0.52,0.9751,145153,12695017,82,10
212,4.9355,1,36,35,1.022,1.15,0.49,8.13,1.76,0,-0.21,1,97.2,97.2,0.11,0.17,4.4571,151935,12357952,80,80
491,1.6215,1,36,22,0.3657,1.05,0.53,1.05,0.41,3e-4,0.32,1,61.1,67,0.35,0.47,1.6108,149463,16034686,82,10
165,-2.8178,1,36,1,1.0275,1.06,0.36,1.14,0.55,1e-4,0.03,1,97.2,97.2,0.15,0.17,-2.344,152242,12124753,80,80
513,3.4117,1,36,32,0.5451,1.06,0.33,0.98,0.03,3e-4,0.17,1,88.9,88.9,0.22,0.31,3.3082,147485,17579066,82,10
112,3.4117,1,36,32,0.5451,0.99,0.15,0.79,0.05,3e-4,0.25,1,88.9,88.9,0.22,0.33,3.3082,143605,11347554,10,0
541,2.7056,1,36,29,0.4397,0.91,-0.14,0.75,-0.27,3e-4,0.36,1,80.6,80.6,0.28,0.37,2.6561,143478,19577710,82,0
221,3.1408,1,36,31,0.4982,1.1,0.37,2.06,2.59,3e-4,-0.03,1,86.1,86.1,0.24,0.35,3.0624,148559,12476285,10,0
133,4.1973,1,36,34,0.7384,1,0.15,0.8,-0.01,2e-4,0.29,1,94.4,94.4,0.16,0.23,3.9689,148451,11483873,82,10
71,-1.2647,1,36,4,0.5528,0.79,-0.77,0.45,-0.98,-1e-4,0.52,1,88.9,88.9,0.27,0.25,-1.1628,144102,10855777,10,80
480,0.8414,1,36,16,0.3616,0.92,-0.61,0.88,-0.79,2e-4,0.46,1,75,66.7,0.37,0.45,0.8479,150414,15384799,80,0
395,2.9097,1,36,30,0.4647,0.95,-0.17,0.8,-0.3,3e-4,0.37,1,83.3,83.3,0.26,0.35,2.8481,150859,14719533,80,0
100,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,151416,11276754,70,50
291,-0.1708,1,36,9,0.3988,1.07,0.4,1.03,0.22,0,0.29,1,66.7,74.6,0.35,0.46,-0.1368,145541,13197754,82,0
119,0.7096,1,36,15,0.3645,0.86,-1.03,0.8,-1.19,1e-4,0.53,1,75,67.6,0.37,0.43,0.7191,150921,11454385,10,0
306,1.6215,1,36,22,0.3657,0.97,-0.12,1.61,1.53,3e-4,0.22,1,58.3,67,0.35,0.46,1.6108,143257,13609637,82,0
27,3.746,1,36,33,0.616,1.02,0.22,0.77,0.07,2e-4,0.15,1,91.7,91.7,0.19,0.27,3.6009,145837,10451749,80,50
70,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,150260,10648178,10,0
464,2.3506,1,36,27,0.4054,1.01,0.09,0.84,-0.42,3e-4,0.32,1,72.2,75.4,0.3,0.41,2.3175,145836,15287939,10,0
430,2.9097,1,36,30,0.4647,0.92,-0.21,0.92,-0.07,3e-4,0.37,1,83.3,83.3,0.26,0.34,2.8481,151128,15019918,80,0
167,2.1912,1,36,26,0.3934,0.8,-1.02,0.71,-1.29,3e-4,0.56,1,80.6,73.2,0.32,0.38,2.1641,146793,12127248,80,50
161,0.7096,1,36,15,0.3645,0.81,-1.51,0.77,-1.46,1e-4,0.59,1,75,67.6,0.37,0.42,0.7191,152159,12101486,80,0
177,1.1004,1,36,18,0.3589,0.93,-0.4,0.94,-0.22,2e-4,0.44,1,80.6,65.4,0.37,0.44,1.1014,151659,12192686,82,0
346,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,148473,13977334,80,0
358,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,144059,14014599,50,70
268,2.3506,1,36,27,0.4054,0.91,-0.39,0.8,-0.68,3e-4,0.48,1,80.6,75.4,0.3,0.41,2.3175,151375,13077759,10,0
18,-4.0597,-1,36,0,1.8401,1,0,1,0,-0.001,0,1,100,100,0,0,-4.0597,147651,10385355,10,0
165,-0.3463,1,36,8,0.427,1.28,0.87,1.46,1.21,0,-0.07,1,72.2,78.9,0.34,0.46,-0.3054,152430,12134155,74,50
232,2.0403,1,36,25,0.3838,1.01,0.06,0.99,0.17,3e-4,0.26,1,69.4,71.1,0.33,0.43,2.0182,149786,12695017,82,0
355,0.4377,1,36,13,0.3738,0.95,-0.4,0.9,-0.64,1e-4,0.46,1,66.7,70,0.37,0.44,0.4535,151948,14052903,82,0
528,3.1408,1,36,31,0.4982,0.91,-0.24,0.79,-0.17,3e-4,0.36,1,86.1,86.1,0.24,0.32,3.0624,147072,18672663,60,0
57,-2.069,1,36,2,0.7453,0.8,-0.25,0.53,-0.56,0,0.44,1,94.4,94.4,0.2,0.21,-1.8439,151407,10515526,10,0
348,0.7096,1,36,15,0.3645,1.11,0.74,1.08,0.55,1e-4,0.25,1,66.7,67.6,0.37,0.48,0.7191,151329,13977229,50,0
279,2.0403,1,36,25,0.3838,0.94,-0.28,0.91,-0.22,3e-4,0.39,1,80.6,71.1,0.33,0.43,2.0182,151744,13177826,10,0
479,3.746,1,36,33,0.616,0.9,-0.13,0.5,-0.61,2e-4,0.39,1,91.7,91.7,0.19,0.25,3.6009,150689,15351742,10,0
