Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
21,-3.24,-1,12,0,1.87,1,0,1,0,0,0,1,100,100,0,0,-3.24,144079,10134190,82,0
304,1.73,1,12,8,0.67,1.17,0.63,1.09,0.36,0,0.3,1,66.7,71.3,0.42,0.46,1.69,145413,12392138,60,0
400,-3.24,-1,12,0,1.87,0.71,-0.92,0.43,-0.85,0,0.66,1,100,100,0,0,-3.24,150423,13814400,20,0
137,4.96,0,12,12,1.86,1,0,1,0,0,0,1,100,100,0,0,4.96,150815,10421947,80,0
361,0.45,1,12,5,0.65,0.55,-1.88,0.5,-1.99,0,0.9,1,91.7,70.9,0.45,0.34,0.47,149844,13260464,82,0
241,2.22,1,12,9,0.72,0.94,0,0.82,0.07,0,0.46,1,75,75,0.37,0.39,2.13,146297,11552808,82,0
40,-3.24,-1,12,0,1.87,1,0,1,0,0,-0.04,1,100,100,0,0,-3.24,144106,10167447,70,0
442,2.8,1,12,10,0.82,0.83,-0.25,0.51,-0.39,0,0.51,1,83.3,83.3,0.31,0.32,2.62,152561,17125634,10,0
70,2.8,1,12,10,0.82,1.05,0.24,0.79,0.03,0,0.31,1,83.3,83.3,0.31,0.36,2.62,146328,10225072,82,0
240,3.65,1,12,11,1.07,0.95,0.2,0.53,0.07,0,0.33,1,91.7,91.7,0.22,0.26,3.23,146597,11492600,10,0
475,1.3,1,12,7,0.65,1.36,1.15,1.31,1.56,0,0.18,1,83.3,71.3,0.44,0.49,1.28,149445,19997035,82,0
128,2.8,1,12,10,0.82,1.35,1.19,3.39,1.54,0,-0.06,1,83.3,83.3,0.31,0.47,2.62,144904,10384219,82,0
170,-1.07,1,12,2,0.82,1,0.13,1,-0.03,0,0.31,1,83.3,83.3,0.33,0.36,-0.89,144495,10512748,82,0
414,4.96,0,12,12,1.86,1,0,1,0,0,0,1,100,100,0,0,4.96,147016,14745135,10,0
4,3.65,1,12,11,1.07,0.87,0.1,0.43,-0.04,0,0.4,1,91.7,91.7,0.22,0.25,3.23,147158,9214542,82,10
401,-3.24,-1,12,0,1.87,0.72,-0.51,0.43,-0.68,0,0.61,1,100,100,0,0,-3.24,144900,14253879,82,0
243,2.22,1,12,9,0.72,0.84,-0.42,0.58,-0.56,0,0.56,1,75,75,0.37,0.37,2.13,151432,11480688,82,10
376,4.96,0,12,12,1.86,1,0,1,0,0,0,1,100,100,0,0,4.96,149933,13565672,82,0
130,3.65,1,12,11,1.07,0.87,0.1,0.43,-0.03,0,0.4,1,91.7,91.7,0.22,0.25,3.23,146805,10402837,10,80
230,-0.48,1,12,3,0.72,0.97,0.02,1.22,0.74,0,0.38,1,91.7,75.2,0.39,0.4,-0.39,151362,11388129,90,0
301,2.22,1,12,9,0.72,0.81,-0.57,0.58,-0.56,0,0.56,1,75,75,0.37,0.37,2.13,148304,12392138,82,0
253,4.96,0,12,12,1.86,1,0,1,0,0,0,1,100,100,0,0,4.96,145811,11772328,50,50
275,0.87,1,12,6,0.65,0.87,-0.2,0.83,-0.36,0,0.53,1,83.3,70.8,0.45,0.38,0.88,152201,12156515,82,0
281,4.96,0,12,12,1.86,1,0,1,0,0,0,1,100,100,0,0,4.96,144153,12236152,74,0
443,-3.24,-1,12,0,1.87,0.79,-0.51,0.56,-0.56,0,0.61,1,100,100,0,0,-3.24,147805,17427681,10,82
350,4.96,0,12,12,1.86,1,0,1,0,0,0,1,100,100,0,0,4.96,143194,13241001,10,50
235,3.65,1,12,11,1.07,0.91,0.15,0.48,0.01,0,0.36,1,91.7,91.7,0.22,0.26,3.23,146598,11467258,74,0
234,2.22,1,12,9,0.72,0.83,-0.42,0.62,-0.5,0,0.56,1,75,75,0.37,0.37,2.13,151722,11450665,82,10
16,1.73,1,12,8,0.67,1.09,0.28,0.79,0.12,0,0.34,1,66.7,71.3,0.42,0.45,1.69,148959,10139818,80,0
